task,run_name,seed,learning_rate,batch_size,accuracy,mcc,f1,precision,recall,specificity,model,rc_aug
mouse_0,caduceus_ps_lr-2e-3_batch_size-128_rc_aug-True,9,0.002,128,0.809876561164856,0.6216967105865479,0.8020565509796143,0.8364611268043518,0.770370364189148,0.8493826985359192,Caduceus,True
mouse_0,caduceus_ps_lr-2e-3_batch_size-256_rc_aug-false,1,0.002,256,0.7962962985038757,0.594336211681366,0.7881900072097778,0.8208556175231934,0.7580246925354004,0.8345679044723511,Caduceus,False
mouse_0,caduceus_ps_lr-2e-3_batch_size-256_rc_aug-false,2,0.002,256,0.7962962985038757,0.5929994583129883,0.7924528121948242,0.807692289352417,0.7777777910232544,0.8148148059844971,Caduceus,False
mouse_0,caduceus_ps_lr-2e-3_batch_size-256_rc_aug-false,3,0.002,256,0.7962962985038757,0.5926377773284912,0.7975460290908813,0.792682945728302,0.8024691343307495,0.790123462677002,Caduceus,False
mouse_0,caduceus_ps_lr-5e-4_batch_size-128_rc_aug-false,1,0.0005,128,0.7888888716697693,0.5890936851501465,0.7660738825798035,0.8588957190513611,0.6913580298423767,0.8864197731018066,Caduceus,False
mouse_0,caduceus_ps_lr-5e-4_batch_size-128_rc_aug-false,2,0.0005,128,0.809876561164856,0.6214603781700134,0.8025640845298767,0.8346666693687439,0.7728394865989685,0.8469135761260986,Caduceus,False
mouse_0,caduceus_ps_lr-5e-4_batch_size-128_rc_aug-false,3,0.0005,128,0.7913580536842346,0.5840153098106384,0.7841634750366211,0.8121693134307861,0.7580246925354004,0.8246913552284241,Caduceus,False
mouse_0,caduceus_ps_lr-5e-4_batch_size-256_rc_aug-false,1,0.0005,256,0.7753086686134338,0.5521341562271118,0.7666666507720947,0.7973333597183228,0.7382715940475464,0.8123456835746765,Caduceus,False
mouse_0,caduceus_ps_lr-5e-4_batch_size-256_rc_aug-false,2,0.0005,256,0.7938271760940552,0.5948958992958069,0.7764390707015991,0.847953200340271,0.7160493731498718,0.8716049194335938,Caduceus,False
mouse_0,caduceus_ps_lr-5e-4_batch_size-256_rc_aug-false,3,0.0005,256,0.7679012417793274,0.5449767708778381,0.7445651888847351,0.8277945518493652,0.6765432357788086,0.8592592477798462,Caduceus,False
mouse_0,hyena_lr-6e-3_batch_size-128_rc_aug-true,1,0.006,128,0.4987654387950897,-0.009157370775938,0.0333333350718021,0.4666666686534881,0.0172839500010013,0.980246901512146,HyenaDNA,True
mouse_0,hyena_lr-6e-3_batch_size-128_rc_aug-true,2,0.006,128,0.480246901512146,-0.0487189404666423,0.5978987812995911,0.4875389337539673,0.7728394865989685,0.1876543164253235,HyenaDNA,True
mouse_0,hyena_lr-6e-3_batch_size-128_rc_aug-true,3,0.006,128,0.5,0.0,0.0,0.0,0.0,1.0,HyenaDNA,True
mouse_0,hyena_lr-6e-3_batch_size-256_rc_aug-true,1,0.006,256,0.5,0.0,0.0,0.0,0.0,1.0,HyenaDNA,True
mouse_0,hyena_lr-6e-3_batch_size-256_rc_aug-true,2,0.006,256,0.5,0.0,0.0049140048213303,0.5,0.0024691359139978,0.9975308775901794,HyenaDNA,True
mouse_0,hyena_lr-6e-3_batch_size-256_rc_aug-true,3,0.006,256,0.5024691224098206,0.0062924199737608,0.6201696395874023,0.5015243887901306,0.8123456835746765,0.192592591047287,HyenaDNA,True
mouse_0,hyena_lr-6e-4_batch_size-128_rc_aug-true,1,0.0006,128,0.7617284059524536,0.5294972062110901,0.742323100566864,0.8081395626068115,0.6864197254180908,0.8370370268821716,HyenaDNA,True
mouse_0,hyena_lr-6e-4_batch_size-128_rc_aug-true,2,0.0006,128,0.7654321193695068,0.5310261249542236,0.762499988079071,0.7721518874168396,0.7530864477157593,0.7777777910232544,HyenaDNA,True
mouse_0,hyena_lr-6e-4_batch_size-128_rc_aug-true,3,0.0006,128,0.7592592835426331,0.55762779712677,0.704992413520813,0.91015625,0.575308620929718,0.9432098865509032,HyenaDNA,True
mouse_0,hyena_lr-6e-4_batch_size-256_rc_aug-True,10,0.0006,256,0.7543209791183472,0.5088297128677368,0.7509386539459229,0.7614213228225708,0.7407407164573669,0.7679012417793274,HyenaDNA,True
mouse_0,hyena_lr-6e-4_batch_size-256_rc_aug-true,1,0.0006,256,0.7790123224258423,0.5583124160766602,0.7754077911376953,0.7882652878761292,0.7629629373550415,0.7950617074966431,HyenaDNA,True
mouse_0,hyena_lr-6e-4_batch_size-256_rc_aug-true,2,0.0006,256,0.7691357731819153,0.538273274898529,0.7694204449653625,0.7684729099273682,0.770370364189148,0.7679012417793274,HyenaDNA,True
mouse_0,hyena_lr-6e-4_batch_size-256_rc_aug-true,3,0.0006,256,0.7679012417793274,0.5358285903930664,0.766749382019043,0.7705735564231873,0.7629629373550415,0.7728394865989685,HyenaDNA,True
mouse_0,hyena_lr-6e-4_batch_size-256_rc_aug-True,4,0.0006,256,0.7382715940475464,0.4973813891410827,0.6945244669914246,0.8339100480079651,0.595061719417572,0.8814814686775208,HyenaDNA,True
mouse_0,hyena_lr-6e-4_batch_size-256_rc_aug-True,5,0.0006,256,0.7641975283622742,0.5284740328788757,0.7621419429779053,0.7688442468643188,0.7555555701255798,0.7728394865989685,HyenaDNA,True
mouse_0,hyena_lr-6e-4_batch_size-256_rc_aug-True,6,0.0006,256,0.7543209791183472,0.511016845703125,0.7656065821647644,0.7319819927215576,0.8024691343307495,0.7061728239059448,HyenaDNA,True
mouse_0,hyena_lr-6e-4_batch_size-256_rc_aug-True,7,0.0006,256,0.7419753074645996,0.4864497184753418,0.7282184362411499,0.7692307829856873,0.6913580298423767,0.7925925850868225,HyenaDNA,True
mouse_0,hyena_lr-6e-4_batch_size-256_rc_aug-True,8,0.0006,256,0.770370364189148,0.5409056544303894,0.7674999833106995,0.7772151827812195,0.7580246925354004,0.7827160358428955,HyenaDNA,True
mouse_0,hyena_lr-6e-4_batch_size-256_rc_aug-True,9,0.0006,256,0.7592592835426331,0.5281519293785095,0.7339699864387512,0.8201219439506531,0.6641975045204163,0.8543210029602051,HyenaDNA,True
mouse_0,hyena_lr-6e-5_batch_size-128_rc_aug-true,1,6e-05,128,0.7333333492279053,0.4797680675983429,0.6983240246772766,0.8038585186004639,0.6172839403152466,0.8493826985359192,HyenaDNA,True
mouse_0,hyena_lr-6e-5_batch_size-128_rc_aug-true,2,6e-05,128,0.7345678806304932,0.4691372215747833,0.7348951697349548,0.7339901328086853,0.7358024716377258,0.7333333492279053,HyenaDNA,True
mouse_0,hyena_lr-6e-5_batch_size-128_rc_aug-true,3,6e-05,128,0.739506185054779,0.4810239374637604,0.7270374894142151,0.7635869383811951,0.6938271522521973,0.7851851582527161,HyenaDNA,True
mouse_0,hyena_lr-6e-5_batch_size-256_rc_aug-true,1,6e-05,256,0.7283950448036194,0.4575942754745483,0.7362110018730164,0.7156177163124084,0.7580246925354004,0.6987654566764832,HyenaDNA,True
mouse_0,hyena_lr-6e-5_batch_size-256_rc_aug-true,2,6e-05,256,0.719753086566925,0.4460270404815674,0.6936572194099426,0.7648809552192688,0.63456791639328,0.8049382567405701,HyenaDNA,True
mouse_0,hyena_lr-6e-5_batch_size-256_rc_aug-true,3,6e-05,256,0.7283950448036194,0.4575942754745483,0.7201017737388611,0.7427821755409241,0.6987654566764832,0.7580246925354004,HyenaDNA,True
mouse_0,mamba_uni_char_lr-1e-4_batch_size-128_rc_aug-true,1,0.0001,128,0.6987654566764832,0.399110734462738,0.6847545504570007,0.718157172203064,0.654321014881134,0.7432098984718323,Mamba-char,True
