task,model,best_learning_rate,best_batch_size,best_rc_aug,mcc_mean,mcc_std,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,replicate_count
splice_reconstructed,HyenaDNA,0.0006,128,True,0.8200088143348694,0.011928165474723619,0.8950021862983704,0.0067031195766636045,0.8868073999881745,0.007620052514258778,0.8916854143142701,0.008453128349020622,0.8828283250331879,0.011566140447000836,10
splice_reconstructed,Mamba-bpe,0.0002,128,True,0.6142079876019404,0.015667112893374652,0.7764812937149634,0.00880017157722993,0.7498917121153611,0.010804685847474392,0.7573990730138925,0.01095351932582285,0.7438237116887019,0.012448400497750096,13
splice_reconstructed,Mamba-char,0.0002,128,True,0.6641183137893677,0.02491635860742697,0.8044278800487519,0.0151130323706726,0.785248476266861,0.0176363587239688,0.7903924226760864,0.020776673285180583,0.7812412083148956,0.016657032670746294,10
splice_sites_acceptors,CNN,0.001,64,False,0.9277280966440836,0.005003419283594869,0.9637777805328369,0.002523933767037524,0.9635035395622253,0.0025104279340436675,0.9547569155693054,0.004722909049591673,0.9724293748537699,0.003855072427015197,3
splice_sites_acceptors,Caduceus,0.001,128,True,0.873468154668808,0.009030628089775498,0.9366999983787536,0.004495403547755789,0.9359123587608338,0.00474116396996762,0.9316451907157898,0.004840570969397211,0.9402711927890778,0.00872006186337351,10
splice_sites_acceptors,HyenaDNA,0.0006,128,True,0.8873886741124667,0.016355721692532625,0.9436410298714271,0.008145046684483983,0.9428987778150119,0.008280774663468521,0.9394377103218665,0.010688564058927317,0.9464928324405963,0.011556825721471686,13
splice_sites_acceptors,Mamba-bpe,0.0002,128,True,0.6068858412595896,0.02902553973216211,0.8021794878519498,0.015870207005580988,0.8034073343643775,0.01442878314401251,0.7873681921225327,0.030535236550388443,0.8224250353299655,0.036489090029806326,13
splice_sites_acceptors,Mamba-char,0.002,128,True,0.9018607277136582,0.007246221199601246,0.950871793123392,0.003624849619297367,0.9501023705189044,0.003815606443706129,0.9488558035630447,0.008335695806895888,0.9514993520883414,0.01051981647708367,13
splice_sites_all,CNN,0.001,64,False,0.9268081386884054,0.001997274063124277,0.9511110981305441,0.001387767419570869,0.951031764348348,0.0014805244164707357,0.9508967200915018,0.0014302496873378283,0.951493481794993,0.0013670537179231099,3
splice_sites_all,Caduceus,0.001,128,True,0.9110506236553192,0.010184550846532438,0.9407000064849853,0.006797702925305083,0.9409106731414795,0.00681685613759569,0.9408801794052124,0.006884192255132482,0.9410295128822327,0.006728584567173012,10
splice_sites_all,HyenaDNA,0.0006,128,True,0.9091687752650335,0.015455827670763927,0.9394359038426325,0.010307658656550743,0.939729630947113,0.01022969065081833,0.9399700302344102,0.010003140682562481,0.9396363680179303,0.010412383173033292,13
splice_sites_all,Mamba-bpe,0.0002,128,True,0.7049040060776931,0.012637245340805585,0.8026153857891376,0.008900537376258634,0.8022139439216027,0.009333759914794888,0.8027011614579421,0.008537116501001385,0.8038459466053889,0.00865897093753003,13
splice_sites_all,Mamba-char,0.002,128,True,0.929815411567688,0.00573609773068882,0.9531794924002427,0.0038576851592598475,0.9533032683225778,0.003858660059876414,0.9533917445402879,0.0038345929867973257,0.9533824095359216,0.0037919369987265664,13
splice_sites_donors,CNN,0.001,64,False,0.9528912703196206,0.005383910937875811,0.9764444430669149,0.002694278039077673,0.9761754671732584,0.002710359202003118,0.9742063681284586,0.0032859916775504865,0.9781531492869059,0.0021719677062164914,3
splice_sites_donors,Caduceus,0.001,256,False,0.8799065748850504,0.016420006084348012,0.9398888945579529,0.008194372010535357,0.9395818511644999,0.00828615983632202,0.931774377822876,0.0073995954103046185,0.9475225408871969,0.009223242073859769,3
splice_sites_donors,HyenaDNA,0.0006,256,True,0.9267437060674032,0.016752028960954866,0.9632222255071005,0.008474350921022517,0.9630667567253113,0.008442184364945853,0.9548148711522421,0.014564419415989458,0.9716216127077738,0.012329902490227996,3
