task,run_name,seed,learning_rate,batch_size,accuracy,mcc,f1,precision,recall,specificity,model,rc_aug
H3K36me3,mamba_uni_char_LR-3e-4_BATCH_SIZE-128_RC_AUG-true,10,0.0003,128,0.75,0.5063106417655945,0.7695144414901733,0.7162471413612366,0.8313413262367249,0.6680053472518921,Mamba-char,True
H3K36me3,mamba_uni_char_LR-3e-4_BATCH_SIZE-128_RC_AUG-True,11,0.0003,128,0.7369999885559082,0.4791989028453827,0.756406307220459,0.7068666815757751,0.8134130239486694,0.6599732041358948,Mamba-char,True
H3K36me3,mamba_uni_char_LR-3e-4_BATCH_SIZE-128_RC_AUG-True,12,0.0003,128,0.7416666746139526,0.488452285528183,0.760432779788971,0.7113938927650452,0.8167330622673035,0.665997326374054,Mamba-char,True
H3K36me3,mamba_uni_char_LR-3e-4_BATCH_SIZE-128_RC_AUG-True,13,0.0003,128,0.7256666421890259,0.4831487834453583,0.7683647871017456,0.666829526424408,0.9063745141029358,0.5435073375701904,Mamba-char,True
H3K36me3,mamba_uni_char_LR-3e-4_BATCH_SIZE-128_RC_AUG-True,14,0.0003,128,0.7369999885559082,0.4816649556159973,0.759817361831665,0.7015177011489868,0.8286852836608887,0.6445783376693726,Mamba-char,True
H3K36me3,mamba_uni_char_LR-3e-4_BATCH_SIZE-128_RC_AUG-True,15,0.0003,128,0.7226666808128357,0.4711673557758331,0.7628278136253357,0.6683316826820374,0.8884462118148804,0.5555555820465088,Mamba-char,True
H3K36me3,mamba_uni_char_LR-3e-4_BATCH_SIZE-128_RC_AUG-True,16,0.0003,128,0.7423333525657654,0.4899967312812805,0.7613461017608643,0.7114830017089844,0.8187251091003418,0.6653279662132263,Mamba-char,True
H3K36me3,mamba_uni_char_LR-3e-4_BATCH_SIZE-128_RC_AUG-True,17,0.0003,128,0.749666690826416,0.5029217600822449,0.7650922536849976,0.7232406735420227,0.812084972858429,0.6867470145225525,Mamba-char,True
H3K36me3,mamba_uni_char_LR-3e-4_BATCH_SIZE-128_RC_AUG-True,18,0.0003,128,0.7366666793823242,0.4817750751972198,0.7604609131813049,0.6997767686843872,0.8326693177223206,0.6398928761482239,Mamba-char,True
H3K36me3,mamba_uni_char_LR-3e-4_BATCH_SIZE-128_RC_AUG-true,4,0.0003,128,0.7403333187103271,0.4893148839473724,0.7638678550720215,0.7027328610420227,0.8366534113883972,0.6432396173477173,Mamba-char,True
H3K36me3,mamba_uni_char_LR-3e-4_BATCH_SIZE-128_RC_AUG-true,5,0.0003,128,0.7229999899864197,0.4688661992549896,0.7612754702568054,0.6708860993385315,0.879814088344574,0.5649263858795166,Mamba-char,True
H3K36me3,mamba_uni_char_LR-3e-4_BATCH_SIZE-128_RC_AUG-true,6,0.0003,128,0.7363333106040955,0.4807876050472259,0.7597935199737549,0.7000559568405151,0.8306772708892822,0.6412315964698792,Mamba-char,True
H3K36me3,mamba_uni_char_LR-3e-4_BATCH_SIZE-128_RC_AUG-true,7,0.0003,128,0.7369999885559082,0.4826429486274719,0.7609815001487732,0.6997214555740356,0.833997368812561,0.639223575592041,Mamba-char,True
H3K36me3,mamba_uni_char_LR-3e-4_BATCH_SIZE-128_RC_AUG-true,8,0.0003,128,0.7403333187103271,0.4943978488445282,0.7687740921974182,0.6951153874397278,0.8598937392234802,0.6198126077651978,Mamba-char,True
