task,model,best_learning_rate,best_batch_size,best_rc_aug,mcc_mean,mcc_std,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,replicate_count
demo_coding_vs_intergenomic,HyenaDNA,0.0006,256,True,0.802774714572089,0.005118862070849115,0.9012885689735413,0.00261298163324613,0.9007999982152667,0.0034113087118310985,0.9051931074687413,0.0071180527652437995,0.8966342891965594,0.012339071247146886,14
demo_coding_vs_intergenomic,Mamba-bpe,1e-05,256,True,0.7925266944445096,0.0021802840936988037,0.8962184511698209,0.0011070186845393982,0.8960190736330472,0.001385858639227251,0.8977833344386175,0.0060819620580249995,0.8943569247539227,0.007709840546089741,13
demo_coding_vs_intergenomic,Mamba-char,0.002,256,True,0.7742074590462905,0.12151416148945836,0.8828430817677424,0.07562381127604544,0.889799530689533,0.04893299429722749,0.8823133111000061,0.09221541358031672,0.9057169281519376,0.026905275321174038,13
demo_human_or_worm,CNN,0.001,64,False,0.8838278889656067,0.002010589175747141,0.9418559908866883,0.0009718342271053304,0.9422732949256897,0.001077814993308499,0.9355476140975952,0.003143892273134631,0.9491199970245361,0.00448535470950067,5
demo_human_or_worm,Caduceus,0.0005,128,True,0.9434739172458648,0.0013723136538410714,0.9717199981212616,0.0006986879472599633,0.9717574834823608,0.0007184615742678069,0.9704779326915741,0.004001482864112169,0.9730719923973083,0.004353160478607438,10
demo_human_or_worm,HyenaDNA,6e-05,256,True,0.9287103276986343,0.003091058027723269,0.9643323054680457,0.0015541194650053438,0.9644367190507742,0.0015441216954682232,0.9616523339198186,0.004224412979416409,0.9672676875041082,0.004301282660155998,13
demo_human_or_worm,Mamba-bpe,0.0001,256,True,0.9227598309516907,0.0024391406135631432,0.9613199967604417,0.0012796861149028073,0.9613693494063157,0.0014363461917220528,0.9601072760728689,0.0072627279807545905,0.9627569271967962,0.008817412281091716,13
demo_human_or_worm,Mamba-char,0.001,128,True,0.930260167672084,0.008557957949070846,0.9650707749220041,0.0043094114271418965,0.9651340658848102,0.004290055158154647,0.9635222875154935,0.008901198021895672,0.9668676853179932,0.008842193746043952,13
dummy_mouse_enhancers,CNN,0.001,64,False,0.4326347589492798,0.06430378870309288,0.7148760437965394,0.0321412192424317,0.7042061924934387,0.04032735975715828,0.7313089609146118,0.03694695096725706,0.6826446175575256,0.07027223624609293,5
dummy_mouse_enhancers,Caduceus,0.002,128,True,0.5826332032680511,0.037655702663513556,0.7880165219306946,0.02098461861594159,0.7751453876495361,0.03303040097274229,0.824312400817871,0.036366880902454504,0.7371900796890258,0.07307289362884326,10
dummy_mouse_enhancers,HyenaDNA,0.0006,128,True,0.5951038130692073,0.048658089400209145,0.7954545404229846,0.026121955497106317,0.7930495866707393,0.0367973047722685,0.8010056827749524,0.03507007868443309,0.791617465870721,0.0786830865297853,14
dummy_mouse_enhancers,Mamba-bpe,5e-05,256,True,0.555425579731281,0.03248103974787459,0.7749523199521579,0.018603869679075978,0.7604231788561895,0.030923184211765688,0.8107272845048171,0.019867484515664325,0.7196439917270954,0.06414606257074515,13
dummy_mouse_enhancers,Mamba-char,0.001,128,True,0.5702339640030494,0.039338656499040794,0.7848061048067533,0.01992214810966565,0.7843549985152024,0.022111295080214116,0.7857567759660574,0.0206637054599256,0.7838525038499099,0.03552215851852006,13
enhancers,CNN,0.001,64,False,0.5012047588825226,0.013712178713740041,0.7447777589162191,0.010844001489423948,0.758832573890686,0.0032852663688849298,0.7008707722028097,0.025313753429818453,0.8290892243385315,0.03529717459759542,3
enhancers,Caduceus,0.001,128,True,0.5048767626285553,0.008304420885296494,0.7453333377838135,0.00820267434652252,0.7613354206085206,0.0041295191656565,0.6982688426971435,0.02051070933970873,0.8390915274620057,0.03691699099988389,10
enhancers,HyenaDNA,0.0002,256,True,0.4918160278063554,0.01083058078467929,0.739794868689317,0.004406509981339109,0.7556411165457505,0.007549443240042094,0.6930450888780447,0.0060802484931900165,0.8311715951332679,0.022878526958446353,13
