task,model,best_lr,best_epoch,mcc_mean,mcc_std,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,replicate_count,source_files,same_source_file,num_source_files
H3K4me2,DNABERT,3e-05,3.0,0.5360438422223266,0.010572743702983046,0.7627065793576552,0.00375154643452328,0.7603690068176178,0.0033147267005446826,0.7734548126467512,0.007138320854444378,0.7627065793576552,0.003751546434523208,3,combined_results_orig_07.21.2025.csv,True,1
H3K4me2,DNABERT2,3e-05,3.0,0.5747465669805445,0.005678690082986727,0.782156220767072,0.003040224508886811,0.7801768421412105,0.0034550412395256383,0.792697423585855,0.003888409787304118,0.782156220767072,0.0030402245088868387,4,combined_results_orig_07.21.2025.csv,True,1
H3K4me2,GPT,3e-05,3.0,0.5339537390221877,0.0070286880520749875,0.7581852198316184,0.009354536950420989,0.7541130595067603,0.012495965496725069,0.7761954840003197,0.005657969242227054,0.7581852198316184,0.00935453695042096,3,combined_results_orig_07.21.2025.csv,True,1
H3K4me2,NTv2,0.0001,3.0,0.5622433948779576,0.006503201727662985,0.7772061116308077,0.005461265945786446,0.7756326842019305,0.006541703170686105,0.785113501216664,0.0028432444450010325,0.7772061116308077,0.005461265945786385,3,combined_results_orig_07.21.2025.csv,True,1
H3K4me3,DNABERT,3e-05,3.0,0.6155029890545611,0.008513596028510574,0.8075601374570448,0.004142461667093179,0.8075011315451538,0.004110402760296981,0.8079431227252171,0.004384548023221713,0.8075601374570448,0.004142461667093179,3,combined_results_orig_07.21.2025.csv,True,1
H3K4me3,DNABERT2,3e-05,10.0,0.6335880753896765,0.011149544269337836,0.8157216494845361,0.004556100394243203,0.8154193187133387,0.004302229061883914,0.8178736910593761,0.006672161640606837,0.8157216494845361,0.004556100394243203,5,combined_results_orig_07.21.2025.csv,True,1
H3K4me3,GPT,3e-05,3.0,0.5813521222081933,0.013191090615772144,0.7903780068728522,0.006612888452895522,0.7902702519997534,0.006625567070575691,0.7909746418441537,0.00659252601725052,0.7903780068728522,0.006612888452895522,3,combined_results_orig_07.21.2025.csv,True,1
H3K4me3,NTv2,0.0001,3.0,0.6444492364420615,0.011884894295163614,0.8221649484536083,0.005905381050200822,0.8221488249638242,0.005895968614720425,0.8222843036883768,0.005979679937802359,0.8221649484536083,0.005905381050200804,3,combined_results_orig_07.21.2025.csv,True,1
H3K9ac,DNABERT,3e-05,3.0,0.5039759912735847,0.014745514112770145,0.7496679946879151,0.005485628035145515,0.7485467889133689,0.004609325128930755,0.7543391117876349,0.009307834322103418,0.7496679946879151,0.005485628035145515,3,combined_results_orig_07.21.2025.csv,True,1
H3K9ac,DNABERT2,3e-05,10.0,0.5548100933082296,0.015662676949581743,0.7764940239043824,0.008380750584845654,0.776114440667257,0.0086603239959977,0.7783216726500811,0.007349926874324103,0.7764940239043824,0.008380750584845654,5,combined_results_orig_07.21.2025.csv,True,1
H3K9ac,GPT,3e-05,3.0,0.49512325735544066,0.015210803864692292,0.746347941567065,0.00925455502308522,0.745686922542187,0.010172916058415608,0.7487894583060634,0.005947884157901059,0.746347941567065,0.00925455502308522,3,combined_results_orig_07.21.2025.csv,True,1
H3K9ac,NTv2,0.0001,3.0,0.5558616147234879,0.00860331972097178,0.7775564409030545,0.004706987675550402,0.7774025952976271,0.00488779863478571,0.7783066658403589,0.003955831803592916,0.7775564409030545,0.004706987675550402,3,combined_results_orig_07.21.2025.csv,True,1
H3K9me3,DNABERT,3e-05,3.0,0.43298890464951484,0.014700610984422244,0.7141176470588236,0.006550311015094148,0.7125695526267464,0.006817585158337556,0.7189278764681065,0.009277664781026396,0.7141176470588236,0.006550311015094148,3,combined_results_orig_07.21.2025.csv,True,1
H3K9me3,DNABERT2,3e-05,3.0,0.4946439268961259,0.01296774945813679,0.7464705882352941,0.006262242910851528,0.7460382852462493,0.006175299536373168,0.7481770168849987,0.006736665232164789,0.7464705882352941,0.006262242910851528,4,combined_results_orig_07.21.2025.csv,True,1
H3K9me3,GPT,3e-05,3.0,0.38822954573617957,0.012533633508856055,0.6909803921568628,0.006037178164055176,0.688489263929871,0.005985751572685228,0.6973007630039971,0.006507021787830898,0.6909803921568627,0.0060371781640552345,3,combined_results_orig_07.21.2025.csv,True,1
H3K9me3,NTv2,0.0001,3.0,0.49945449646403905,0.02051942638737318,0.7494117647058823,0.010051769112138292,0.7492585898524955,0.009969304897342811,0.7500433933962655,0.01047428211501226,0.7494117647058823,0.010051769112138292,3,combined_results_orig_07.21.2025.csv,True,1
H4K20me1,DNABERT,3e-05,3.0,0.6087955980596119,0.004240368066630951,0.7998531571218797,0.004710430229763712,0.7983414484098841,0.0056672264632920775,0.8090300519322726,0.0017233502551652722,0.7998531571218797,0.004710430229763794,3,combined_results_orig_07.21.2025.csv,True,1
H4K20me1,DNABERT2,3e-05,3.0,0.6570454805058659,0.003866679079828429,0.8212922173274596,0.0029986164253541746,0.8193212944147016,0.0033361099846046577,0.835918920351693,0.000983109996241113,0.8212922173274597,0.0029986164253542526,3,combined_results_orig_07.21.2025.csv,True,1
H4K20me1,GPT,3e-05,3.0,0.5877129112126828,0.003286238940030439,0.7910425844346549,0.0017803752794393391,0.7900407132981395,0.0025270892694880687,0.7967120716569355,0.0038990992425386494,0.7910425844346549,0.0017803752794393391,3,combined_results_orig_07.21.2025.csv,True,1
